Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Philippines,2020-04-21 14:30:32,12.879.721,121.774.017,6599,437,654,5508,6.022.024.695.229.100,,,662.221.548.719.503,608,PHL
Poland,2020-04-21 14:30:32,519.194,191.451,9737,385,1297,8055,25.727.538.837.367.300,,,39.539.899.352.983.400,616,POL
Portugal,2020-04-21 14:30:32,393.999,-82.245,21379,762,917,19700,20.966.572.835.720.300,,,3.564.245.287.431.590,620,PRT
Qatar,2020-04-21 14:30:32,253.548,511.839,6533,9,614,5910,22.675.681.867.090.500,,,13.776.213.072.095.500,634,QAT
Romania,2020-04-21 14:30:32,459.432,249.668,9242,482,2153,6607,4.804.113.094.290.670,,,5.215.321.359.013.200,642,ROU
Rwanda,2020-04-21 14:30:32,-19.403,298.739,147,0,80,67,1.134.941.537.771.660,,,0.0,646,RWA
Saint Kitts and Nevis,2020-04-21 14:30:32,17.357.822,-62.782.998,15,0,0,15,28.199.729.282.598.800,,,0.0,659,KNA
Saint Lucia,2020-04-21 14:30:32,139.094,-609.789,15,0,13,2,816.864.438.623.529,,,0.0,662,LCA
Saint Vincent and the Grenadines,2020-04-21 14:30:32,12.9843,-612.872,12,0,2,10,10.815.975.195.363.500,,,0.0,670,VCT
San Marino,2020-04-21 14:30:32,439.424,12.4578,476,40,62,374,1.402.557.605.044.490,,,8.403.361.344.537.810,674,SMR
Sao Tome and Principe,2020-04-21 14:30:32,18.636,6.613.081,4,0,0,4,18.251.422.470.238.700,,,0.0,678,STP
Saudi Arabia,2020-04-21 14:30:32,23.885.942,45.079.162,11631,109,1640,9882,33.409.101.034.366.500,,,9.371.507.179.090.360,682,SAU
Senegal,2020-04-21 14:30:32,144.974,-144.524,412,5,242,165,24.605.931.821.262.900,,,12.135.922.330.097.000,686,SEN
Serbia,2020-04-21 14:30:32,440.165,210.059,6630,125,870,5635,7.588.095.731.324.180,,,1.885.369.532.428.350,688,SRB
Seychelles,2020-04-21 14:30:32,-46.796,55.492,11,0,5,6,11.185.682.326.621.900,,,0.0,690,SYC
Sierra Leone,2020-04-21 14:30:32,8.460.555.000.000.000,-11.779.889,50,0,6,44,6.268.032.345.554.110,,,0.0,694,SLE
Singapore,2020-04-21 14:30:32,1.2833,1.038.333,9125,11,801,8313,15.597.376.085.470.500,,,12.054.794.520.547.900,702,SGP
Slovakia,2020-04-21 14:30:32,48.669,19.699,1199,14,258,927,21.961.142.880.587.600,,,11.676.396.997.497.900,703,SVK
Slovenia,2020-04-21 14:30:32,461.512,149.955,1344,77,197,1070,646.485.791.743.068,,,5.729.166.666.666.660,705,SVN
Somalia,2020-04-21 14:30:32,5.152.149,46.199.616,237,8,4,225,14.912.020.025.647.400,,,33.755.274.261.603.300,706,SOM
South Africa,2020-04-21 14:30:32,-305.595,229.375,3300,58,1055,2187,5.564.108.733.475.650,,,17.575.757.575.757.500,710,ZAF
South Sudan,2020-04-21 14:30:32,6.877.000.000.000.000,31.307,4,0,0,4,35.734.293.728.211.500,,,0.0,728,SSD
Spain,2020-04-21 14:30:32,40.463.667,-374.922,204178,21282,82514,100382,43.669.970.620.973.600,,,10.423.258.137.507.400,724,ESP
Sri Lanka,2020-04-21 14:30:32,7.873.054,8.077.179.699.999.990,310,7,102,201,14.477.017.734.346.700,,,22.580.645.161.290.300,144,LKA
Sudan,2020-04-21 14:30:32,12.8628,302.176,107,12,8,87,24.401.775.090.024.800,,,11.214.953.271.028.000,729,SDN
Suriname,2020-04-21 14:30:32,3.9193,-560.278,10,1,6,3,17.046.403.720.207.100,,,10.0,740,SUR
Syria,2020-04-21 14:30:32,34.802.075,3.899.681.500.000.000,39,3,6,30,22.284.877.647.736.300,,,76.923.076.923.076.900,760,SYR
Taiwan*,2020-04-21 11:38:57,23.7,121.0,425,6,217,202,1.784.456.543.759.590,,,1.411.764.705.882.350,158,TWN
Tanzania,2020-04-21 14:30:32,-6.369.028,34.888.822,254,10,11,233,42.521.695.230.169.000,,,3.937.007.874.015.740,834,TZA
Thailand,2020-04-21 14:30:32,15.870.032,100.992.541,2811,48,2108,655,4.027.221.899.697.440,,,17.075.773.745.997.800,764,THA
Timor-Leste,2020-04-21 14:30:32,-8.874.217,125.727.539,23,0,1,22,17.444.832.613.038.700,,,0.0,626,TLS
Togo,2020-04-21 14:30:32,8.6195,8.248,84,6,53,25,10.146.475.241.332.100,,,7.142.857.142.857.140,768,TGO
Trinidad and Tobago,2020-04-21 14:30:32,10.6918,-612.225,114,8,26,80,8.145.818.729.809.620,,,7.017.543.859.649.120,780,TTO
Tunisia,2020-04-21 14:30:32,33.886.917,9.537.499,884,38,148,698,7.479.723.940.650.250,,,4.298.642.533.936.650,788,TUN
Turkey,2020-04-21 14:30:32,389.637,352.433,90980,2140,13430,75410,10.787.408.876.600.400,,,23.521.653.110.573.700,792,TUR
Uganda,2020-04-21 14:30:32,1.373.333,32.290.275,58,0,38,20,12.680.090.072.363.900,,,0.0,800,UGA
Ukraine,2020-04-21 14:30:32,483.794,311.656,6125,161,367,5597,14.005.199.050.006.100,,,26.285.714.285.714.200,804,UKR
United Arab Emirates,2020-04-21 14:30:32,23.424.076,53.847.818,7755,46,1443,6266,7.840.936.665.857.800,,,5.931.656.995.486.780,784,ARE
Uruguay,2020-04-21 14:30:32,-325.228,-557.658,535,11,313,211,154.013.254.351.882,,,205.607.476.635.514,858,URY
Uzbekistan,2020-04-21 14:30:32,41.377.491,64.585.262,1657,6,344,1307,4.950.820.603.743.750,,,3.621.001.810.500.900,860,UZB
Venezuela,2020-04-21 14:30:32,6.4238,-665.897,285,10,117,158,10.022.526.771.839.400,,,3.508.771.929.824.560,862,VEN
Vietnam,2020-04-21 14:30:32,14.058.324,108.277.199,268,0,216,52,275.327.615.977.315,,,0.0,704,VNM
West Bank and Gaza,2020-04-21 14:30:32,319.522,352.332,461,4,71,386,9.036.706.671.245.780,,,8.676.789.587.852.490,275,PSE
Western Sahara,2020-04-21 14:30:32,242.155,-128.858,6,0,0,6,1.004.469.891.015.010,,,0.0,732,ESH
Yemen,2020-04-21 14:30:32,15.552.727,48.516.388,1,0,0,1,33.527.830.513.329.800,,,0.0,887,YEM
Zambia,2020-04-21 14:30:32,-13.133.897,27.849.332,70,3,35,32,3.807.667.946.985.940,,,4.285.714.285.714.280,894,ZMB
Zimbabwe,2020-04-21 14:30:32,-19.015.438,29.154.857,25,3,2,20,16.820.374.613.963.900,,,12.0,716,ZWE
